date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:41:52	54960/54960	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Apr%202023%2012:41:51%20GMT	https://adirara.webnikah.com/?coba=36/kepada:Budi%20dan%20Ani-Bandung	C:/Users/KoRoK/Downloads/ccc/adirara.webnikah.com/index35ff.html	(from )
19:41:52	22/22	---M--	200	added ('OK')	application/octet-stream	etag:%2216-5caf0ae80e1b7%22	https://adirara.webnikah.com/robots.txt		(from )
19:41:52	188481/188481	---M--	200	added ('OK')	image/jpeg	etag:%222e041-5caf0bd87ed74%22	https://adirara.webnikah.com/dirmember/00000001/adisumaryadi/slide-1-2374-202102060609.jpg	C:/Users/KoRoK/Downloads/ccc/adirara.webnikah.com/dirmember/00000001/adisumaryadi/slide-1-2374-202102060609.jpg	(from https://adirara.webnikah.com/?coba=36/kepada:Budi%20dan%20Ani-Bandung)
19:41:52	89947/89947	---M--	200	added ('OK')	application/javascript	etag:%2215f5b-5f41449d878c0%22	https://adirara.webnikah.com/template/nikah-wayang/js/jquery.js	C:/Users/KoRoK/Downloads/ccc/adirara.webnikah.com/template/nikah-wayang/js/jquery.js	(from https://adirara.webnikah.com/?coba=36/kepada:Budi%20dan%20Ani-Bandung)
19:41:53	79884/79884	---M--	200	added ('OK')	text/css	etag:%221380c-5caf0a87e8d38%22	https://adirara.webnikah.com/template/nikah-wayang/assets/fontawesome-pro/css/font-awesome.min.css	C:/Users/KoRoK/Downloads/ccc/adirara.webnikah.com/template/nikah-wayang/assets/fontawesome-pro/css/font-awesome.min.css	(from https://adirara.webnikah.com/?coba=36/kepada:Budi%20dan%20Ani-Bandung)
19:41:53	160392/160392	---M--	200	added ('OK')	text/css	etag:%2227288-5caf0a8826598%22	https://adirara.webnikah.com/template/nikah-wayang/css/bootstrap.min.css	C:/Users/KoRoK/Downloads/ccc/adirara.webnikah.com/template/nikah-wayang/css/bootstrap.min.css	(from https://adirara.webnikah.com/?coba=36/kepada:Budi%20dan%20Ani-Bandung)
19:41:53	26053/26053	---MCZ	200	added ('OK')	text/css	etag:%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/Users/KoRoK/Downloads/ccc/unpkg.com/aos@2.3.1/dist/aos.css	(from https://adirara.webnikah.com/?coba=36/kepada:Budi%20dan%20Ani-Bandung)
19:41:53	1116/1116	---M--	200	added ('OK')	text/css	etag:%2245c-5f41458fc3440%22	https://adirara.webnikah.com/template/nikah-wayang//static/footermenu/style.css	C:/Users/KoRoK/Downloads/ccc/adirara.webnikah.com/template/nikah-wayang/static/footermenu/style.css	(from https://adirara.webnikah.com/?coba=36/kepada:Budi%20dan%20Ani-Bandung)
19:41:54	13883/13883	---M--	200	added ('OK')	text/css	etag:%22363b-5caf0a8827538%22	https://adirara.webnikah.com/template/nikah-wayang/css/swiper-bundle.min.css	C:/Users/KoRoK/Downloads/ccc/adirara.webnikah.com/template/nikah-wayang/css/swiper-bundle.min.css	(from https://adirara.webnikah.com/?coba=36/kepada:Budi%20dan%20Ani-Bandung)
19:41:54	4402/4402	---M--	200	added ('OK')	text/css	etag:%221132-5f417902f5700%22	https://adirara.webnikah.com/template/nikah-wayang/css/main.css?	C:/Users/KoRoK/Downloads/ccc/adirara.webnikah.com/template/nikah-wayang/css/maind41d.css	(from https://adirara.webnikah.com/?coba=36/kepada:Budi%20dan%20Ani-Bandung)
